City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Wind Speed,Current Description
285,Karratha,AU,-20.7377,116.8463,81.0,77,4.14,scattered clouds
286,Guanica,PR,17.9716,-66.908,79.0,68,3.0,scattered clouds
287,Merrill,US,45.1805,-89.6835,24.8,46,8.05,overcast clouds
288,Mango,US,27.9797,-82.3065,68.0,30,3.04,clear sky
289,Souillac,MU,-20.5167,57.5167,80.6,83,8.05,light rain
290,Hornepayne,CA,49.2138,-84.7705,5.13,94,4.0,overcast clouds
291,Hamilton,US,39.1834,-84.5333,34.0,47,3.44,clear sky
292,Aksu,CN,41.1231,80.2644,19.04,82,4.32,clear sky
293,Afyonkarahisar,TR,38.75,30.6667,27.73,85,4.16,clear sky
294,Tual,ID,-5.6667,132.75,83.46,73,13.15,overcast clouds
295,Olga,RU,43.7444,135.2892,-9.47,82,8.19,few clouds
296,Noshiro,JP,40.2039,140.0242,26.6,74,19.57,light snow
297,Kenai,US,60.5544,-151.2583,21.99,93,7.83,overcast clouds
298,Ohangaron,UZ,40.9064,69.6383,35.6,51,4.61,clear sky
299,Aktau,KZ,43.65,51.2,28.4,93,11.18,clear sky
300,Khovu-Aksy,RU,51.1333,93.6,18.34,88,9.75,overcast clouds
301,Talnakh,RU,69.4865,88.3972,-31.97,66,2.01,clear sky
302,Mar Del Plata,AR,-38.0023,-57.5575,75.2,57,3.44,clear sky
303,Dennery,LC,13.8996,-60.8879,80.6,74,6.91,few clouds
304,Epernay,FR,49.05,3.95,46.4,87,9.22,overcast clouds
305,Taoudenni,ML,22.6783,-3.9836,72.16,21,12.82,clear sky
306,Zyryanka,RU,65.75,150.85,-22.99,86,9.57,overcast clouds
307,Lagoa,PT,39.05,-27.9833,59.16,77,11.86,clear sky
308,Kaitangata,NZ,-46.2817,169.8464,59.0,66,1.99,broken clouds
309,Rio Gallegos,AR,-51.6226,-69.2181,51.8,43,24.16,scattered clouds
310,Inhambane,MZ,-23.865,35.3833,78.84,83,3.11,few clouds
311,Port Augusta,AU,-32.5,137.7667,68.0,68,12.66,overcast clouds
312,Yaan,NG,7.3833,8.5667,79.93,16,3.49,clear sky
